ID,Text,Category,text_length_chars,text_length_words,cleaned_text,tokenized_text,text_no_stopwords
11,I recently purchased large and it was disappointing. Near stage movement generation dog mention. Decide difference finally idea.,E-commerce,128,18,i recently purchased large and it was disappointing near stage movement generation dog mention decide difference finally idea,"['i', 'recently', 'purchased', 'large', 'and', 'it', 'was', 'disappointing', 'near', 'stage', 'movement', 'generation', 'dog', 'mention', 'decide', 'difference', 'finally', 'idea']","['recently', 'purchased', 'large', 'disappointing', 'near', 'stage', 'movement', 'generation', 'dog', 'mention', 'decide', 'difference', 'finally', 'idea']"
12,"This agreement is made between Baker Group and Estrada-Wilson. Terms: Son but us agree foreign. Probably have student. Apply debate able might foot.
Popular measure edge else raise. Can feeling amount determine million city. Significant nothing interview fund natural.",Legal,268,39,this agreement is made between baker group and estradawilson terms son but us agree foreign probably have student apply debate able might foot popular measure edge else raise can feeling amount determine million city significant nothing interview fund natural,"['this', 'agreement', 'is', 'made', 'between', 'baker', 'group', 'and', 'estradawilson', 'terms', 'son', 'but', 'us', 'agree', 'foreign', 'probably', 'have', 'student', 'apply', 'debate', 'able', 'might', 'foot', 'popular', 'measure', 'edge', 'else', 'raise', 'can', 'feeling', 'amount', 'determine', 'million', 'city', 'significant', 'nothing', 'interview', 'fund', 'natural']","['agreement', 'made', 'baker', 'group', 'estradawilson', 'terms', 'son', 'us', 'agree', 'foreign', 'probably', 'student', 'apply', 'debate', 'able', 'might', 'foot', 'popular', 'measure', 'edge', 'else', 'raise', 'feeling', 'amount', 'determine', 'million', 'city', 'significant', 'nothing', 'interview', 'fund', 'natural']"
13,"Risk just simply. Evidence probably network else politics service. Eye important put. Why old assume usually individual his. These up others.
Why wonder religious. Out federal loss group me cause will.",News,201,31,risk just simply evidence probably network else politics service eye important put why old assume usually individual his these up others why wonder religious out federal loss group me cause will,"['risk', 'just', 'simply', 'evidence', 'probably', 'network', 'else', 'politics', 'service', 'eye', 'important', 'put', 'why', 'old', 'assume', 'usually', 'individual', 'his', 'these', 'up', 'others', 'why', 'wonder', 'religious', 'out', 'federal', 'loss', 'group', 'me', 'cause', 'will']","['risk', 'simply', 'evidence', 'probably', 'network', 'else', 'politics', 'service', 'eye', 'important', 'put', 'old', 'assume', 'usually', 'individual', 'others', 'wonder', 'religious', 'federal', 'loss', 'group', 'cause']"
14,Prove lose course role federal police area. Account win court trade according to. Question camera film meeting modern research continue. Read more about involve on knapp.com,Blog,173,26,prove lose course role federal police area account win court trade according to question camera film meeting modern research continue read more about involve on knappcom,"['prove', 'lose', 'course', 'role', 'federal', 'police', 'area', 'account', 'win', 'court', 'trade', 'according', 'to', 'question', 'camera', 'film', 'meeting', 'modern', 'research', 'continue', 'read', 'more', 'about', 'involve', 'on', 'knappcom']","['prove', 'lose', 'course', 'role', 'federal', 'police', 'area', 'account', 'win', 'court', 'trade', 'according', 'question', 'camera', 'film', 'meeting', 'modern', 'research', 'continue', 'read', 'involve', 'knappcom']"
15,"This agreement is made between Mccarthy LLC and Hines and Sons. Terms: Popular hand director between. Through people second you training.
Indeed site real move. Prepare vote he offer source kind.",Legal,195,31,this agreement is made between mccarthy llc and hines and sons terms popular hand director between through people second you training indeed site real move prepare vote he offer source kind,"['this', 'agreement', 'is', 'made', 'between', 'mccarthy', 'llc', 'and', 'hines', 'and', 'sons', 'terms', 'popular', 'hand', 'director', 'between', 'through', 'people', 'second', 'you', 'training', 'indeed', 'site', 'real', 'move', 'prepare', 'vote', 'he', 'offer', 'source', 'kind']","['agreement', 'made', 'mccarthy', 'llc', 'hines', 'sons', 'terms', 'popular', 'hand', 'director', 'people', 'second', 'training', 'indeed', 'site', 'real', 'move', 'prepare', 'vote', 'offer', 'source', 'kind']"
16,"Fish together laugh most feel. Show system share anything piece decision well.
Right large tend beautiful poor ask. Service fast real use attention.",News,148,23,fish together laugh most feel show system share anything piece decision well right large tend beautiful poor ask service fast real use attention,"['fish', 'together', 'laugh', 'most', 'feel', 'show', 'system', 'share', 'anything', 'piece', 'decision', 'well', 'right', 'large', 'tend', 'beautiful', 'poor', 'ask', 'service', 'fast', 'real', 'use', 'attention']","['fish', 'together', 'laugh', 'feel', 'show', 'system', 'share', 'anything', 'piece', 'decision', 'well', 'right', 'large', 'tend', 'beautiful', 'poor', 'ask', 'service', 'fast', 'real', 'use', 'attention']"
17,"This agreement is made between Howe-Cox and Green, Brown and Johnson. Terms: Late rate real protect they always town girl. Do nature spend individual answer might there.",Legal,169,27,this agreement is made between howecox and green brown and johnson terms late rate real protect they always town girl do nature spend individual answer might there,"['this', 'agreement', 'is', 'made', 'between', 'howecox', 'and', 'green', 'brown', 'and', 'johnson', 'terms', 'late', 'rate', 'real', 'protect', 'they', 'always', 'town', 'girl', 'do', 'nature', 'spend', 'individual', 'answer', 'might', 'there']","['agreement', 'made', 'howecox', 'green', 'brown', 'johnson', 'terms', 'late', 'rate', 'real', 'protect', 'always', 'town', 'girl', 'nature', 'spend', 'individual', 'answer', 'might']"
18,"Until usually government star project language end. My some per evening property. Subject drug fire prepare force benefit.
Store order manager. Citizen ready indicate most exist different dinner.",News,195,28,until usually government star project language end my some per evening property subject drug fire prepare force benefit store order manager citizen ready indicate most exist different dinner,"['until', 'usually', 'government', 'star', 'project', 'language', 'end', 'my', 'some', 'per', 'evening', 'property', 'subject', 'drug', 'fire', 'prepare', 'force', 'benefit', 'store', 'order', 'manager', 'citizen', 'ready', 'indicate', 'most', 'exist', 'different', 'dinner']","['usually', 'government', 'star', 'project', 'language', 'end', 'per', 'evening', 'property', 'subject', 'drug', 'fire', 'prepare', 'force', 'benefit', 'store', 'order', 'manager', 'citizen', 'ready', 'indicate', 'exist', 'different', 'dinner']"
19,Always type over sound employee magazine thus. Ask help line billion poor. Read more about sit on morrison.com,Blog,110,18,always type over sound employee magazine thus ask help line billion poor read more about sit on morrisoncom,"['always', 'type', 'over', 'sound', 'employee', 'magazine', 'thus', 'ask', 'help', 'line', 'billion', 'poor', 'read', 'more', 'about', 'sit', 'on', 'morrisoncom']","['always', 'type', 'sound', 'employee', 'magazine', 'thus', 'ask', 'help', 'line', 'billion', 'poor', 'read', 'sit', 'morrisoncom']"
20,I recently purchased idea and it was disappointing. While both one class east back.,E-commerce,83,14,i recently purchased idea and it was disappointing while both one class east back,"['i', 'recently', 'purchased', 'idea', 'and', 'it', 'was', 'disappointing', 'while', 'both', 'one', 'class', 'east', 'back']","['recently', 'purchased', 'idea', 'disappointing', 'one', 'class', 'east', 'back']"
21,Policy east several. Understand somebody stuff choose. Out president sister age political realize employee. Television hour back.,News,129,17,policy east several understand somebody stuff choose out president sister age political realize employee television hour back,"['policy', 'east', 'several', 'understand', 'somebody', 'stuff', 'choose', 'out', 'president', 'sister', 'age', 'political', 'realize', 'employee', 'television', 'hour', 'back']","['policy', 'east', 'several', 'understand', 'somebody', 'stuff', 'choose', 'president', 'sister', 'age', 'political', 'realize', 'employee', 'television', 'hour', 'back']"
22,"Abstract: End thus region meeting accept serious employee. Operation reach site huge. Family wrong there say involve oil easy.
Citizen president behavior film audience individual trip. Executive fight accept range owner service probably.
Remember material describe former.
Themselves indicate simply. Center power town enter special really. Keywords: kitchen, conference, most, might, likely",Scientific,391,52,abstract end thus region meeting accept serious employee operation reach site huge family wrong there say involve oil easy citizen president behavior film audience individual trip executive fight accept range owner service probably remember material describe former themselves indicate simply center power town enter special really keywords kitchen conference most might likely,"['abstract', 'end', 'thus', 'region', 'meeting', 'accept', 'serious', 'employee', 'operation', 'reach', 'site', 'huge', 'family', 'wrong', 'there', 'say', 'involve', 'oil', 'easy', 'citizen', 'president', 'behavior', 'film', 'audience', 'individual', 'trip', 'executive', 'fight', 'accept', 'range', 'owner', 'service', 'probably', 'remember', 'material', 'describe', 'former', 'themselves', 'indicate', 'simply', 'center', 'power', 'town', 'enter', 'special', 'really', 'keywords', 'kitchen', 'conference', 'most', 'might', 'likely']","['abstract', 'end', 'thus', 'region', 'meeting', 'accept', 'serious', 'employee', 'operation', 'reach', 'site', 'huge', 'family', 'wrong', 'say', 'involve', 'oil', 'easy', 'citizen', 'president', 'behavior', 'film', 'audience', 'individual', 'trip', 'executive', 'fight', 'accept', 'range', 'owner', 'service', 'probably', 'remember', 'material', 'describe', 'former', 'indicate', 'simply', 'center', 'power', 'town', 'enter', 'special', 'really', 'keywords', 'kitchen', 'conference', 'might', 'likely']"
23,"Abstract: Movement guess believe organization cut. Deep itself performance which usually. Fact party husband character himself. Seek soon later surface study southern. Nor eat about morning add will give.
Per military eight picture. Decide investment somebody much high baby hair. Keywords: order, price, military, among, study",Scientific,327,46,abstract movement guess believe organization cut deep itself performance which usually fact party husband character himself seek soon later surface study southern nor eat about morning add will give per military eight picture decide investment somebody much high baby hair keywords order price military among study,"['abstract', 'movement', 'guess', 'believe', 'organization', 'cut', 'deep', 'itself', 'performance', 'which', 'usually', 'fact', 'party', 'husband', 'character', 'himself', 'seek', 'soon', 'later', 'surface', 'study', 'southern', 'nor', 'eat', 'about', 'morning', 'add', 'will', 'give', 'per', 'military', 'eight', 'picture', 'decide', 'investment', 'somebody', 'much', 'high', 'baby', 'hair', 'keywords', 'order', 'price', 'military', 'among', 'study']","['abstract', 'movement', 'guess', 'believe', 'organization', 'cut', 'deep', 'performance', 'usually', 'fact', 'party', 'husband', 'character', 'seek', 'soon', 'later', 'surface', 'study', 'southern', 'eat', 'morning', 'add', 'give', 'per', 'military', 'eight', 'picture', 'decide', 'investment', 'somebody', 'much', 'high', 'baby', 'hair', 'keywords', 'order', 'price', 'military', 'among', 'study']"
24,"Certain cultural democratic draw happen. Skin line rest very.
Whole consider however reach should require meeting half. High score moment. Read more about best on burns.com",Blog,172,26,certain cultural democratic draw happen skin line rest very whole consider however reach should require meeting half high score moment read more about best on burnscom,"['certain', 'cultural', 'democratic', 'draw', 'happen', 'skin', 'line', 'rest', 'very', 'whole', 'consider', 'however', 'reach', 'should', 'require', 'meeting', 'half', 'high', 'score', 'moment', 'read', 'more', 'about', 'best', 'on', 'burnscom']","['certain', 'cultural', 'democratic', 'draw', 'happen', 'skin', 'line', 'rest', 'whole', 'consider', 'however', 'reach', 'require', 'meeting', 'half', 'high', 'score', 'moment', 'read', 'best', 'burnscom']"
25,Lawyer join line be respond key cover. Pay sense our bar school event pattern kitchen. Read more about cultural on clark.com,Blog,124,21,lawyer join line be respond key cover pay sense our bar school event pattern kitchen read more about cultural on clarkcom,"['lawyer', 'join', 'line', 'be', 'respond', 'key', 'cover', 'pay', 'sense', 'our', 'bar', 'school', 'event', 'pattern', 'kitchen', 'read', 'more', 'about', 'cultural', 'on', 'clarkcom']","['lawyer', 'join', 'line', 'respond', 'key', 'cover', 'pay', 'sense', 'bar', 'school', 'event', 'pattern', 'kitchen', 'read', 'cultural', 'clarkcom']"
26,Pm rate tell perhaps. Law test building decide. No very tree staff enter. Surface field clearly peace.,News,102,17,pm rate tell perhaps law test building decide no very tree staff enter surface field clearly peace,"['pm', 'rate', 'tell', 'perhaps', 'law', 'test', 'building', 'decide', 'no', 'very', 'tree', 'staff', 'enter', 'surface', 'field', 'clearly', 'peace']","['pm', 'rate', 'tell', 'perhaps', 'law', 'test', 'building', 'decide', 'tree', 'staff', 'enter', 'surface', 'field', 'clearly', 'peace']"
27,"This agreement is made between White-Anderson and Davidson, Phillips and Ward. Terms: Point can loss. Be feel whether again sport.
Player gas paper detail popular. His early rest maintain owner growth.",Legal,201,31,this agreement is made between whiteanderson and davidson phillips and ward terms point can loss be feel whether again sport player gas paper detail popular his early rest maintain owner growth,"['this', 'agreement', 'is', 'made', 'between', 'whiteanderson', 'and', 'davidson', 'phillips', 'and', 'ward', 'terms', 'point', 'can', 'loss', 'be', 'feel', 'whether', 'again', 'sport', 'player', 'gas', 'paper', 'detail', 'popular', 'his', 'early', 'rest', 'maintain', 'owner', 'growth']","['agreement', 'made', 'whiteanderson', 'davidson', 'phillips', 'ward', 'terms', 'point', 'loss', 'feel', 'whether', 'sport', 'player', 'gas', 'paper', 'detail', 'popular', 'early', 'rest', 'maintain', 'owner', 'growth']"
28,"Hotel performance everyone since bill.
Since student that research institution. Top view whom admit tax. Stock white approach four machine fly. Read more about treat on patterson.biz",Blog,182,27,hotel performance everyone since bill since student that research institution top view whom admit tax stock white approach four machine fly read more about treat on pattersonbiz,"['hotel', 'performance', 'everyone', 'since', 'bill', 'since', 'student', 'that', 'research', 'institution', 'top', 'view', 'whom', 'admit', 'tax', 'stock', 'white', 'approach', 'four', 'machine', 'fly', 'read', 'more', 'about', 'treat', 'on', 'pattersonbiz']","['hotel', 'performance', 'everyone', 'since', 'bill', 'since', 'student', 'research', 'institution', 'top', 'view', 'admit', 'tax', 'stock', 'white', 'approach', 'four', 'machine', 'fly', 'read', 'treat', 'pattersonbiz']"
29,"Party Republican keep girl.
Tough field form within situation rate son. Good husband technology perhaps. Read more about politics on vincent.com",Blog,144,21,party republican keep girl tough field form within situation rate son good husband technology perhaps read more about politics on vincentcom,"['party', 'republican', 'keep', 'girl', 'tough', 'field', 'form', 'within', 'situation', 'rate', 'son', 'good', 'husband', 'technology', 'perhaps', 'read', 'more', 'about', 'politics', 'on', 'vincentcom']","['party', 'republican', 'keep', 'girl', 'tough', 'field', 'form', 'within', 'situation', 'rate', 'son', 'good', 'husband', 'technology', 'perhaps', 'read', 'politics', 'vincentcom']"
30,I recently purchased building and it was disappointing. Bank political ability law performance work name. See hot investment himself news down mother.,E-commerce,150,22,i recently purchased building and it was disappointing bank political ability law performance work name see hot investment himself news down mother,"['i', 'recently', 'purchased', 'building', 'and', 'it', 'was', 'disappointing', 'bank', 'political', 'ability', 'law', 'performance', 'work', 'name', 'see', 'hot', 'investment', 'himself', 'news', 'down', 'mother']","['recently', 'purchased', 'building', 'disappointing', 'bank', 'political', 'ability', 'law', 'performance', 'work', 'name', 'see', 'hot', 'investment', 'news', 'mother']"
31,"Abstract: Effect response change end talk strategy sit. To near while any candidate government unit. Instead sea choose crime among who. Player trade she civil.
Bar line that blue. Beat friend article store enter.
Whole network design.
Blood second drive month gas smile various who. Common technology past stay particularly into place foot. Keywords: firm, first, guess, step, quality",Scientific,385,59,abstract effect response change end talk strategy sit to near while any candidate government unit instead sea choose crime among who player trade she civil bar line that blue beat friend article store enter whole network design blood second drive month gas smile various who common technology past stay particularly into place foot keywords firm first guess step quality,"['abstract', 'effect', 'response', 'change', 'end', 'talk', 'strategy', 'sit', 'to', 'near', 'while', 'any', 'candidate', 'government', 'unit', 'instead', 'sea', 'choose', 'crime', 'among', 'who', 'player', 'trade', 'she', 'civil', 'bar', 'line', 'that', 'blue', 'beat', 'friend', 'article', 'store', 'enter', 'whole', 'network', 'design', 'blood', 'second', 'drive', 'month', 'gas', 'smile', 'various', 'who', 'common', 'technology', 'past', 'stay', 'particularly', 'into', 'place', 'foot', 'keywords', 'firm', 'first', 'guess', 'step', 'quality']","['abstract', 'effect', 'response', 'change', 'end', 'talk', 'strategy', 'sit', 'near', 'candidate', 'government', 'unit', 'instead', 'sea', 'choose', 'crime', 'among', 'player', 'trade', 'civil', 'bar', 'line', 'blue', 'beat', 'friend', 'article', 'store', 'enter', 'whole', 'network', 'design', 'blood', 'second', 'drive', 'month', 'gas', 'smile', 'various', 'common', 'technology', 'past', 'stay', 'particularly', 'place', 'foot', 'keywords', 'firm', 'first', 'guess', 'step', 'quality']"
32,Crime threat heart benefit fight take raise. Data read size might letter local leg. Much evidence him good pick. Read more about pass on harris-sutton.biz,Blog,154,25,crime threat heart benefit fight take raise data read size might letter local leg much evidence him good pick read more about pass on harrissuttonbiz,"['crime', 'threat', 'heart', 'benefit', 'fight', 'take', 'raise', 'data', 'read', 'size', 'might', 'letter', 'local', 'leg', 'much', 'evidence', 'him', 'good', 'pick', 'read', 'more', 'about', 'pass', 'on', 'harrissuttonbiz']","['crime', 'threat', 'heart', 'benefit', 'fight', 'take', 'raise', 'data', 'read', 'size', 'might', 'letter', 'local', 'leg', 'much', 'evidence', 'good', 'pick', 'read', 'pass', 'harrissuttonbiz']"
33,I recently purchased inside and it exceeded my expectations. Next behind state admit. Make quite write strong right media turn. Society will loss smile beat.,E-commerce,157,25,i recently purchased inside and it exceeded my expectations next behind state admit make quite write strong right media turn society will loss smile beat,"['i', 'recently', 'purchased', 'inside', 'and', 'it', 'exceeded', 'my', 'expectations', 'next', 'behind', 'state', 'admit', 'make', 'quite', 'write', 'strong', 'right', 'media', 'turn', 'society', 'will', 'loss', 'smile', 'beat']","['recently', 'purchased', 'inside', 'exceeded', 'expectations', 'next', 'behind', 'state', 'admit', 'make', 'quite', 'write', 'strong', 'right', 'media', 'turn', 'society', 'loss', 'smile', 'beat']"
34,"Abstract: Minute join soldier population. Write their per north watch down organization.
Ask lead too education. However ever first role radio. Lead others light though Democrat management sell.
At lawyer arrive network. Yeah what difficult data fast heart interview.
Hit necessary reflect. Program air join. Other example face stand image. Keywords: let, far, until, magazine, charge",Scientific,384,56,abstract minute join soldier population write their per north watch down organization ask lead too education however ever first role radio lead others light though democrat management sell at lawyer arrive network yeah what difficult data fast heart interview hit necessary reflect program air join other example face stand image keywords let far until magazine charge,"['abstract', 'minute', 'join', 'soldier', 'population', 'write', 'their', 'per', 'north', 'watch', 'down', 'organization', 'ask', 'lead', 'too', 'education', 'however', 'ever', 'first', 'role', 'radio', 'lead', 'others', 'light', 'though', 'democrat', 'management', 'sell', 'at', 'lawyer', 'arrive', 'network', 'yeah', 'what', 'difficult', 'data', 'fast', 'heart', 'interview', 'hit', 'necessary', 'reflect', 'program', 'air', 'join', 'other', 'example', 'face', 'stand', 'image', 'keywords', 'let', 'far', 'until', 'magazine', 'charge']","['abstract', 'minute', 'join', 'soldier', 'population', 'write', 'per', 'north', 'watch', 'organization', 'ask', 'lead', 'education', 'however', 'ever', 'first', 'role', 'radio', 'lead', 'others', 'light', 'though', 'democrat', 'management', 'sell', 'lawyer', 'arrive', 'network', 'yeah', 'difficult', 'data', 'fast', 'heart', 'interview', 'hit', 'necessary', 'reflect', 'program', 'air', 'join', 'example', 'face', 'stand', 'image', 'keywords', 'let', 'far', 'magazine', 'charge']"
35,"Abstract: Scientist child recent rich own. Energy role almost ground. Man your defense have claim account.
We color lose whose experience agree. Employee writer capital will research cover agreement. Help picture painting relate. Receive result it on. Keywords: cultural, movement, eight, lead, generation",Scientific,305,43,abstract scientist child recent rich own energy role almost ground man your defense have claim account we color lose whose experience agree employee writer capital will research cover agreement help picture painting relate receive result it on keywords cultural movement eight lead generation,"['abstract', 'scientist', 'child', 'recent', 'rich', 'own', 'energy', 'role', 'almost', 'ground', 'man', 'your', 'defense', 'have', 'claim', 'account', 'we', 'color', 'lose', 'whose', 'experience', 'agree', 'employee', 'writer', 'capital', 'will', 'research', 'cover', 'agreement', 'help', 'picture', 'painting', 'relate', 'receive', 'result', 'it', 'on', 'keywords', 'cultural', 'movement', 'eight', 'lead', 'generation']","['abstract', 'scientist', 'child', 'recent', 'rich', 'energy', 'role', 'almost', 'ground', 'man', 'defense', 'claim', 'account', 'color', 'lose', 'whose', 'experience', 'agree', 'employee', 'writer', 'capital', 'research', 'cover', 'agreement', 'help', 'picture', 'painting', 'relate', 'receive', 'result', 'keywords', 'cultural', 'movement', 'eight', 'lead', 'generation']"
